Iteration,Array,ArrayList,LinkedList
1,412,217,488
2,57,66,254
3,57,66,253
4,57,66,254
5,60,66,252
6,74,45,234
7,36,45,233
8,36,45,239
9,38,47,233
10,37,48,258
11,26,59,253
12,26,41,251
13,31,41,242
14,26,41,243
15,26,41,248
16,26,42,242
17,26,42,242
18,26,41,248
19,26,41,241
20,26,41,241
21,26,42,243
22,26,41,247
23,26,41,241
24,26,42,246
25,26,41,243
26,26,41,248
27,26,42,242
28,26,41,242
29,26,41,242
30,26,41,243
31,26,41,242
32,26,41,242
33,26,41,241
34,26,48,238
35,26,41,237
36,26,41,248
37,26,41,237
38,26,41,242
39,26,41,237
40,26,41,237
41,26,41,241
42,26,41,236
43,26,41,241
44,26,41,236
45,26,41,241
46,26,41,236
47,26,41,236
48,26,41,238
49,26,41,236
50,26,41,236
51,26,41,241
52,26,41,247
53,26,41,237
54,26,41,237
55,26,41,237
56,26,41,236
57,26,41,235
58,26,40,237
59,26,41,237
60,26,41,244
61,26,41,242
62,26,40,236
63,26,41,236
64,26,41,236
65,26,41,250
66,28,41,236
67,26,41,236
68,26,41,243
69,26,41,234
70,26,41,236
71,26,41,240
72,26,46,236
73,26,41,236
74,26,41,235
75,26,41,237
76,26,41,237
77,26,40,237
78,26,41,236
79,26,41,237
80,26,41,243
81,26,41,235
82,26,53,237
83,26,41,237
84,26,41,237
85,26,41,235
86,26,40,236
87,26,41,236
88,26,41,239
89,26,41,236
90,26,41,236
91,26,41,236
92,26,41,235
93,26,40,242
94,26,41,236
95,26,41,237
96,26,41,237
97,26,41,237
98,26,41,237
99,26,41,241
100,26,41,236
101,26,41,236
102,26,41,237
103,26,41,242
104,26,41,235
105,26,40,237
106,26,41,236
107,26,41,236
108,26,41,241
109,26,41,236
110,26,41,236
111,26,41,237
112,26,45,236
113,26,41,236
114,26,40,237
115,26,41,237
116,26,41,240
117,26,41,237
118,26,40,236
119,26,41,236
120,26,41,237
121,26,41,242
122,26,41,236
123,26,41,236
124,26,41,237
125,26,41,237
126,26,41,237
127,26,41,241
128,26,41,237
129,26,41,235
130,26,41,237
131,26,41,237
132,26,45,236
133,26,40,237
134,26,41,237
135,26,41,237
136,26,41,241
137,26,41,236
138,26,53,240
139,32,41,236
140,26,41,235
141,26,41,241
142,26,41,236
143,26,41,236
144,26,41,240
