Iteration,Array,ArrayList,LinkedList
1,56,66,260
2,57,66,254
3,56,66,254
4,56,65,254
5,38,52,234
6,47,45,239
7,36,45,233
8,36,45,234
9,36,45,233
10,26,45,234
11,26,41,244
12,26,41,241
13,26,42,247
14,26,41,243
15,26,41,241
16,26,42,253
17,26,42,246
18,26,41,242
19,26,42,241
20,26,42,241
21,26,41,243
22,26,41,242
23,26,41,241
24,26,42,241
25,26,41,242
26,26,41,246
27,26,41,242
28,26,41,242
29,26,41,242
30,26,41,242
31,26,41,242
32,27,41,241
33,26,41,240
34,26,41,249
35,26,41,237
36,26,41,236
37,26,41,236
38,26,41,237
39,26,41,240
40,26,41,236
41,26,41,245
42,26,41,238
43,26,41,236
44,26,41,236
45,26,41,235
46,26,41,236
47,26,41,241
48,26,41,238
49,26,59,237
50,26,41,236
51,26,41,240
52,26,41,248
53,26,41,237
54,28,41,237
55,26,41,236
56,26,41,236
57,26,46,241
58,26,41,236
59,26,41,236
60,26,41,246
61,26,41,238
62,26,41,237
63,26,41,236
64,26,41,236
65,26,41,243
66,26,41,242
67,30,40,236
68,26,41,237
69,26,41,247
70,26,41,236
71,29,41,235
72,26,41,244
73,26,41,241
74,26,41,235
75,26,41,248
76,26,41,237
77,26,41,237
78,26,41,236
79,26,41,243
80,26,41,237
81,26,41,235
82,26,41,237
83,26,41,237
84,26,41,237
85,26,41,241
86,26,41,236
87,26,41,235
88,26,41,243
89,26,41,239
90,26,41,237
91,26,41,236
92,26,41,235
93,26,40,246
94,26,41,236
95,26,40,236
96,26,41,238
97,26,41,243
98,26,41,237
99,26,41,236
100,26,41,236
101,26,41,236
102,26,41,237
103,26,41,241
104,26,41,235
105,26,41,237
106,26,41,236
107,26,41,241
108,26,41,236
109,26,41,241
110,26,41,235
111,26,41,236
112,26,41,236
113,26,41,242
114,26,41,237
115,26,41,236
116,26,41,245
117,26,41,239
118,26,41,236
119,26,41,236
120,26,41,236
121,26,41,241
122,26,41,236
123,26,41,235
124,26,41,237
125,26,41,243
126,26,41,237
127,26,41,235
128,26,41,236
129,26,41,236
130,26,41,236
131,26,41,240
132,26,41,236
133,26,41,237
134,26,41,237
135,26,40,242
136,26,41,236
137,26,41,235
138,26,41,235
139,26,41,236
140,26,41,235
141,26,41,242
142,26,41,236
143,26,41,236
144,26,41,244
145,26,41,238
146,26,41,236
147,26,41,236
148,26,41,236
149,26,41,248
150,31,41,236
151,26,40,236
152,26,41,235
153,26,41,243
154,26,41,237
155,26,41,236
156,26,42,241
157,26,41,236
158,26,41,236
159,26,41,241
160,26,41,236
161,26,41,236
162,26,41,237
163,26,41,240
164,26,41,236
165,26,41,237
166,26,41,236
167,26,41,236
168,26,41,237
169,26,41,243
170,26,43,235
171,26,41,236
172,26,41,244
173,26,41,239
174,26,41,236
175,26,41,236
176,26,41,237
177,26,41,243
178,26,41,237
179,26,40,236
180,26,41,235
181,26,41,243
182,26,41,238
183,26,41,236
184,26,41,236
185,26,41,236
186,26,41,236
187,26,41,242
188,26,41,236
189,26,41,236
190,26,41,235
191,26,41,241
192,26,41,236
193,26,41,237
194,26,41,237
195,26,41,239
196,26,41,235
197,26,41,241
198,26,41,237
199,26,41,236
200,26,41,243
201,26,41,237
202,26,41,236
203,26,41,236
204,29,41,235
205,26,41,241
206,26,41,236
207,26,41,238
208,26,41,236
209,26,41,241
210,26,41,236
211,26,41,236
212,26,41,237
213,26,41,237
214,26,41,236
215,26,41,241
216,26,41,236
217,26,53,237
218,26,41,236
219,26,41,241
220,26,41,236
221,26,41,238
222,26,41,235
223,26,41,236
224,26,41,236
225,26,41,242
226,26,41,237
227,28,41,237
228,26,41,242
229,26,41,244
230,26,41,237
231,26,41,236
232,26,41,235
233,26,41,243
234,26,41,236
235,26,40,237
236,26,41,236
237,26,41,243
238,26,41,236
239,26,41,237
240,26,41,236
241,26,41,236
242,26,41,236
243,26,41,240
244,26,41,236
245,26,41,237
246,26,41,237
247,26,41,241
248,26,41,236
249,26,41,237
250,26,41,236
251,26,41,237
252,26,41,236
253,26,41,242
254,26,41,236
255,26,41,238
256,26,41,245
257,26,41,240
258,26,41,237
259,26,41,237
260,26,41,236
261,26,41,247
262,26,41,236
263,26,40,241
264,26,41,235
265,26,41,247
266,26,41,236
267,26,41,236
268,26,41,237
269,26,41,237
270,26,41,235
271,26,41,239
272,26,41,236
273,26,53,235
274,26,41,236
275,26,41,244
276,26,41,236
277,26,41,240
278,26,41,236
279,26,41,237
280,26,41,237
281,26,41,242
282,26,41,236
283,26,41,237
284,26,41,238
285,26,41,242
286,26,41,236
287,26,41,236
288,26,41,236
289,26,41,245
290,26,47,236
291,26,40,236
292,26,41,236
293,26,41,236
294,26,41,236
295,26,41,236
296,26,41,236
297,26,41,238
298,26,41,237
299,26,41,237
300,26,41,236
301,26,41,237
302,26,41,236
303,26,41,242
304,26,41,237
305,26,41,240
306,26,41,235
307,26,41,237
308,26,41,236
309,26,41,242
310,26,41,235
311,26,41,236
312,26,41,235
313,26,41,242
314,26,41,236
315,26,41,236
316,26,41,237
317,26,41,246
318,26,41,237
319,26,40,237
320,26,41,237
321,26,41,235
322,26,41,237
323,26,41,235
324,26,41,237
325,26,41,236
326,26,41,236
327,26,41,236
328,26,41,236
329,26,53,237
330,26,41,236
331,26,41,243
332,26,41,236
333,26,41,242
334,26,41,237
335,28,41,237
336,26,41,235
337,26,41,249
338,26,41,242
339,26,41,238
