Iteration;Array;ArrayList;LinkedList
1;174;441;176
2;41;43;99
3;40;29;78
4;27;28;78
5;31;31;81
6;27;30;77
7;26;27;78
8;26;30;82
9;26;28;77
10;26;26;77
11;26;27;82
12;26;27;77
13;28;26;77
14;30;35;77
15;26;25;77
16;26;29;78
17;27;27;77
18;26;25;78
19;26;25;77
20;26;29;87
21;30;30;95
22;31;26;78
23;26;29;77
24;26;31;77
25;26;26;156
26;49;44;93
27;26;32;96
28;26;23;77
29;26;27;78
30;30;26;78
31;27;29;78
32;26;26;77
33;26;26;84
34;26;29;78
35;26;29;77
36;26;29;77
37;26;26;77
38;26;27;76
39;26;27;77
40;26;29;77
41;26;28;79
42;26;27;77
43;26;26;92
44;26;27;78
45;26;27;77
46;26;29;77
47;26;27;77
48;26;27;77
49;26;26;77
50;26;24;77
51;26;25;77
52;26;27;77
53;26;28;77
54;27;32;77
55;26;25;78
56;26;26;78
57;26;26;77
58;29;28;78
59;26;28;78
60;26;23;78
61;26;28;77
62;26;27;78
63;26;24;77
64;30;25;78
65;27;24;83
66;26;25;78
67;26;26;78
68;26;27;77
69;26;27;78
70;26;29;78
71;26;29;77
72;27;27;77
73;27;27;77
74;26;27;78
75;26;25;77
76;26;29;82
77;28;34;78
78;26;25;77
79;27;28;77
80;31;24;78
81;26;28;80
82;26;29;77
83;26;25;77
84;26;27;82
85;26;28;77
86;26;29;78
87;26;28;85
88;26;27;77
89;26;26;77
90;26;24;77
91;26;28;77
92;26;28;77
93;26;28;78
94;26;25;77
95;26;27;77
96;26;27;89
97;26;27;77
98;26;27;77
99;26;25;78
100;26;27;76
101;26;27;79
102;26;28;78
103;26;26;78
104;26;28;78
105;26;28;78
106;27;39;79
107;26;25;78
108;26;26;79
109;25;29;79
110;26;27;79
111;26;27;78
112;26;26;79
113;26;27;91
114;26;27;78
115;26;27;78
116;26;27;82
117;26;31;78
118;26;27;79
119;26;27;83
120;26;28;79
121;26;28;78
122;26;27;79
123;26;28;78
124;26;28;77
125;26;28;80
126;27;30;78
127;28;27;78
128;26;27;79
129;25;27;79
130;26;28;79
131;26;27;78
132;26;26;78
133;33;25;79
134;26;27;78
135;27;28;78
136;31;27;79
137;26;27;78
138;26;27;77
139;26;27;79
140;26;26;78
141;26;30;78
142;26;26;79
143;26;27;79
144;26;27;78
145;26;28;78
146;26;26;80
147;25;28;79
148;26;33;79
149;26;27;78
150;26;27;78
151;26;29;79
152;26;28;78
153;27;29;78
154;26;28;79
155;26;28;77
156;26;30;79
157;26;27;78
158;26;25;78
159;26;29;79
160;26;27;77
161;26;27;79
162;26;27;78
163;26;31;80
164;26;27;78
165;26;27;78
166;26;27;80
167;26;23;78
168;26;25;79
169;26;27;78
170;26;28;78
171;26;29;78
172;26;28;79
173;26;28;77
174;26;28;79
175;26;26;79
176;27;27;78
177;26;26;78
178;26;28;78
179;26;27;79
180;26;27;87
181;26;27;82
182;26;29;78
183;26;28;79
184;26;27;79
185;26;27;78
186;26;27;77
187;28;30;80
188;26;26;78
189;28;28;79
190;26;27;78
191;26;27;78
192;26;28;80
193;25;27;78
194;26;27;79
195;26;27;78
196;26;28;78
197;26;28;84
198;26;27;78
199;26;28;78
200;26;26;78
201;27;27;79
202;26;27;79
203;26;28;79
204;26;27;80
205;27;28;79
206;26;26;77
207;26;27;78
208;35;39;92
209;26;24;79
210;30;27;77
211;26;25;95
212;26;27;77
213;25;26;76
214;25;27;97
215;25;26;76
216;25;26;75
217;34;25;82
218;25;26;75
