Iteration;Array;ArrayList;LinkedList
1;101;57;391
2;51;57;252
3;45;42;239
4;37;42;241
5;35;40;237
6;34;40;232
7;34;39;231
8;34;39;242
9;39;39;232
10;34;39;250
11;34;42;244
12;40;48;243
13;34;39;231
14;34;39;231
15;34;40;231
16;34;39;232
17;34;39;232
18;35;41;238
19;35;40;242
20;35;40;237
21;35;45;238
22;35;40;246
23;35;40;237
24;35;40;237
25;35;40;238
26;34;40;237
27;35;43;237
28;35;40;243
29;36;40;237
30;35;50;240
31;35;47;237
32;35;40;242
33;35;41;239
34;35;40;249
35;35;42;237
36;35;41;237
37;34;40;246
38;35;40;238
39;38;40;238
40;35;40;237
41;35;41;236
42;35;40;237
43;35;40;237
44;35;40;237
45;35;40;238
46;35;40;242
47;35;40;237
48;35;48;237
49;35;40;237
50;35;40;237
51;35;40;238
52;35;40;245
53;34;44;235
54;33;39;232
55;33;38;240
56;34;39;231
57;33;38;232
58;33;38;229
59;34;38;235
60;36;39;226
61;37;48;311
62;38;56;236
63;49;42;242
64;34;41;254
65;34;40;232
66;34;45;240
67;34;39;232
68;40;39;232
69;34;39;243
70;34;41;246
71;34;39;251
72;34;44;233
73;36;39;239
74;35;39;232
75;38;48;238
76;35;40;238
77;38;40;237
78;34;40;243
79;35;43;245
80;35;40;246
81;35;41;236
82;34;40;242
83;35;40;236
84;34;40;281
85;35;40;237
86;34;40;237
87;35;40;241
88;35;40;237
89;35;40;238
90;35;40;245
91;34;40;242
92;35;40;237
93;35;40;243
94;35;41;249
95;36;40;241
96;36;40;237
97;34;39;238
98;35;41;238
99;34;40;238
100;35;40;243
101;39;42;252
102;43;50;240
103;35;48;240
104;35;48;245
105;35;48;240
106;35;42;240
107;35;42;245
108;35;41;243
109;36;50;240
110;35;42;240
111;35;42;240
112;35;42;246
113;35;42;244
114;37;42;239
115;35;41;239
116;35;42;245
117;35;42;240
118;35;41;245
119;35;42;239
120;34;46;239
121;35;42;238
122;42;48;240
123;35;42;239
124;35;42;240
125;35;42;239
126;35;42;239
127;34;42;240
128;35;42;239
129;35;42;240
130;35;41;239
131;35;42;244
132;35;42;239
133;33;53;228
134;33;40;229
135;33;47;235
136;33;40;232
137;36;40;228
138;33;40;228
139;40;40;228
140;34;40;228
141;35;40;247
142;33;62;269
143;53;40;235
144;33;40;228
145;34;41;240
146;34;40;266
147;37;41;250
148;34;50;247
149;35;48;249
150;39;40;246
151;47;41;234
152;34;41;243
153;34;41;263
154;57;90;299
155;34;41;241
156;34;40;244
157;43;51;290
158;47;42;240
159;35;41;277
160;39;49;273
161;35;41;240
162;35;42;257
163;35;51;314
164;55;45;242
165;35;42;246
166;35;46;240
167;36;43;249
168;36;43;247
169;36;44;245
170;36;45;245
171;36;43;246
172;36;43;246
173;44;43;250
174;36;48;245
175;36;43;247
176;36;43;247
177;36;43;247
178;36;49;247
179;36;43;246
180;36;43;247
181;36;43;251
182;36;45;246
183;36;42;247
184;36;43;251
185;35;43;247
186;36;45;245
187;36;43;247
188;35;42;257
189;36;43;254
190;36;43;246
191;36;43;245
192;36;43;256
193;36;43;251
194;36;43;247
195;36;42;246
196;36;43;250
197;36;43;244
198;35;42;245
199;36;43;247
200;36;43;253
201;36;44;246
202;36;43;246
203;36;43;246
204;36;44;246
205;36;43;246
206;40;43;267
207;45;43;268
208;36;45;249
209;36;43;246
210;36;43;258
211;35;45;245
212;55;54;266
213;36;44;245
214;36;43;246
215;36;42;247
216;37;42;244
217;36;42;247
218;36;43;246
219;39;46;247
220;36;42;246
221;36;42;246
222;36;42;246
223;36;42;245
224;35;41;239
225;35;41;240
226;35;41;247
227;35;41;239
228;35;41;246
229;35;41;240
230;35;41;250
231;35;41;239
232;40;41;239
233;35;41;239
234;35;41;240
235;35;41;241
236;35;45;246
237;37;41;252
238;35;42;239
239;35;45;245
240;35;41;240
241;35;41;248
242;34;41;240
243;35;45;240
244;35;41;241
245;35;41;239
246;35;41;240
247;35;40;239
248;35;41;240
249;35;41;241
250;35;41;239
251;35;41;240
252;35;41;240
253;36;41;240
254;35;41;245
255;35;40;240
256;35;40;246
257;35;41;240
258;35;45;240
259;35;40;239
260;35;42;239
261;35;41;240
262;35;41;240
263;35;41;239
264;35;40;240
265;35;41;248
266;35;40;239
267;35;42;246
268;35;40;240
269;35;41;243
270;35;41;240
271;38;40;239
272;35;41;240
273;35;41;239
274;35;41;244
275;35;41;251
276;35;41;252
277;35;46;240
278;38;41;263
279;35;48;302
280;40;41;240
281;36;41;259
282;35;48;277
283;36;42;252
284;35;42;247
285;36;42;248
286;36;42;250
287;43;43;246
288;36;42;245
289;38;42;255
290;36;42;247
291;37;44;247
292;36;42;247
293;36;42;247
294;37;50;253
295;36;42;247
296;72;75;315
297;36;42;248
298;36;42;245
299;36;42;247
300;36;42;253
301;42;68;300
302;44;48;256
303;41;54;276
304;44;50;255
305;35;49;253
306;36;49;251
307;42;49;247
308;36;42;246
309;36;42;246
310;36;42;247
311;36;43;249
312;36;42;246
313;36;41;246
314;36;41;246
315;36;43;245
316;36;41;240
317;35;41;239
318;36;41;240
319;35;41;239
320;35;40;239
321;35;41;239
322;35;41;240
323;38;50;242
324;35;41;245
325;35;40;240
326;35;41;249
327;35;40;240
328;38;41;239
329;35;41;239
330;35;40;239
331;37;40;239
332;34;41;238
333;35;40;238
334;34;40;245
335;35;40;249
336;35;40;238
337;35;47;240
338;35;40;238
339;40;45;253
340;35;40;251
341;34;40;257
342;39;41;238
343;35;41;239
344;35;41;249
345;35;39;239
346;35;41;245
347;35;40;253
348;34;40;251
349;46;43;238
350;35;40;239
351;35;40;247
352;35;45;239
353;35;41;259
354;35;40;261
355;37;52;254
356;34;42;238
357;35;40;252
358;35;41;242
359;35;40;239
360;36;40;263
361;40;42;239
362;34;40;241
363;35;40;242
364;35;42;245
365;34;40;241
366;35;41;248
367;35;40;245
368;45;51;247
369;43;47;243
370;35;40;239
371;35;40;250
372;34;42;246
373;38;40;254
374;34;46;239
375;37;40;250
376;35;40;238
377;41;55;239
378;35;40;262
379;35;41;268
380;47;51;247
381;43;47;242
382;43;51;260
383;43;49;267
384;37;41;258
385;41;44;243
386;43;48;245
387;43;48;248
388;43;48;245
389;41;41;247
390;43;49;245
391;43;48;246
392;43;48;246
393;43;48;246
394;43;42;245
395;43;48;246
396;36;44;246
397;39;47;240
398;45;47;239
399;42;47;252
400;42;47;259
401;51;57;245
402;42;47;240
403;42;47;244
404;46;44;244
405;48;48;268
406;64;55;332
407;70;121;326
408;36;40;312
409;49;41;242
410;34;42;266
411;35;43;280
412;43;40;253
413;36;53;246
414;70;88;269
415;35;40;275
416;34;40;271
417;35;41;248
418;36;41;244
419;36;41;245
420;36;41;243
421;36;41;243
422;36;41;244
423;37;42;245
424;36;42;245
425;36;42;245
426;36;41;246
427;36;41;244
428;36;43;245
429;35;40;245
430;36;42;248
431;48;40;240
432;35;41;238
433;35;40;250
434;35;40;247
435;35;40;245
436;35;50;250
437;35;41;245
438;35;49;238
439;35;40;239
440;35;40;248
441;36;41;245
442;36;41;245
443;37;42;246
444;36;42;245
445;36;42;245
446;43;42;245
447;36;41;245
448;39;48;245
449;43;48;245
450;43;48;246
451;43;48;247
452;43;40;262
453;42;52;244
454;46;48;239
455;42;47;244
456;42;47;243
457;42;43;257
458;42;47;258
459;40;47;244
460;42;54;239
461;42;47;238
462;42;46;256
463;35;47;264
464;42;62;239
465;45;47;248
466;42;47;243
467;47;47;246
468;43;47;259
469;42;54;239
470;42;47;243
471;42;47;239
472;42;47;246
473;42;47;250
474;40;40;250
475;42;48;238
476;42;51;239
477;43;47;238
478;42;47;239
479;42;46;239
480;42;47;239
481;40;47;259
482;42;47;239
483;42;47;243
484;42;47;239
485;42;52;239
486;36;43;239
487;42;47;239
488;42;47;239
489;42;47;240
490;37;42;246
491;40;46;239
492;42;46;251
493;42;47;239
494;48;47;239
495;42;47;238
496;42;47;240
497;42;47;239
498;35;44;243
499;43;47;245
500;42;47;239
501;35;47;245
502;45;46;239
503;44;45;238
504;35;40;238
505;40;47;239
506;42;47;239
507;42;47;239
508;42;47;246
509;42;47;239
510;39;40;245
511;42;47;238
512;47;47;239
513;42;46;241
514;42;47;239
515;42;47;240
516;42;47;245
517;35;44;253
518;42;47;239
519;42;49;243
520;42;47;239
521;42;47;244
522;42;41;243
523;41;47;243
524;42;47;256
525;34;41;251
526;36;41;267
527;35;43;268
528;39;51;251
529;39;46;241
530;35;41;245
531;35;42;246
532;39;45;266
533;35;40;250
534;35;40;243
535;35;47;243
536;47;52;283
537;42;47;250
538;42;47;265
539;42;50;242
540;42;47;257
541;42;47;247
542;49;48;245
543;43;48;245
544;43;49;246
545;43;48;246
546;43;48;245
547;43;48;247
548;43;48;245
549;43;48;246
550;43;48;245
551;43;49;245
552;43;48;246
553;43;48;245
554;42;47;250
555;42;47;243
556;45;47;239
557;42;47;240
558;42;47;242
559;42;43;256
560;41;41;240
561;35;41;251
562;35;41;251
563;38;41;243
564;35;41;249
565;35;46;248
566;45;48;242
567;45;51;241
568;43;48;257
569;44;41;266
570;47;55;286
571;43;49;245
572;42;48;261
573;66;53;249
574;42;56;249
575;43;48;258
576;44;49;246
577;45;50;248
578;44;49;247
579;44;49;247
580;44;49;246
581;44;49;247
582;44;49;249
583;43;49;246
584;44;51;246
585;44;49;257
586;44;49;249
587;43;48;245
588;35;42;248
589;34;42;254
590;35;42;243
591;50;45;240
592;35;41;248
593;43;48;259
594;35;46;241
595;43;48;249
596;43;48;265
597;47;48;240
598;43;48;276
599;44;58;254
600;49;45;242
601;50;48;248
602;43;51;275
603;60;77;310
604;43;48;251
605;43;62;249
606;43;48;249
607;43;52;282
608;53;52;242
609;44;49;248
610;45;52;251
611;44;43;249
612;36;43;250
613;36;43;260
614;36;43;251
615;36;43;250
616;36;43;254
617;36;44;255
618;69;431;336
619;66;53;256
620;45;43;357
621;50;60;330
622;43;51;321
623;60;68;280
624;35;41;262
625;35;47;249
626;36;41;279
627;50;53;279
628;55;45;262
629;36;42;261
630;42;55;317
631;49;44;256
632;36;43;313
633;62;59;248
634;36;42;284
635;36;60;304
636;36;47;254
637;42;45;276
638;51;69;268
639;36;42;281
640;54;63;318
641;36;42;251
642;37;42;249
643;51;57;249
644;36;43;252
645;36;43;252
646;36;57;262
647;36;43;253
648;36;44;257
649;36;43;251
650;36;43;249
651;36;43;249
652;36;42;246
653;36;43;247
654;36;42;248
655;36;42;251
656;36;42;298
657;37;43;245
658;36;42;246
659;36;42;248
660;36;42;254
661;36;42;247
662;36;42;246
663;36;41;245
664;36;41;246
665;36;43;245
666;37;42;246
667;36;42;246
668;36;42;246
669;36;42;246
670;36;42;247
671;36;42;246
672;36;42;246
673;38;48;242
674;35;40;242
675;35;44;239
676;35;40;237
677;36;40;241
678;35;40;250
679;35;44;250
680;42;40;248
681;35;40;238
682;35;40;247
683;35;41;242
684;34;47;238
685;35;40;238
686;38;42;242
687;40;40;243
688;40;40;239
689;35;40;240
690;35;40;245
691;35;42;256
692;35;42;256
693;34;43;248
694;43;40;242
695;35;40;247
696;35;44;244
697;37;40;249
698;35;40;249
699;35;40;244
700;35;52;238
701;35;40;240
702;34;40;239
703;34;40;243
704;35;43;292
705;34;40;239
706;42;41;248
707;35;40;259
708;43;41;239
709;34;40;247
710;35;40;251
711;35;42;274
712;46;42;238
713;35;43;241
714;35;40;245
715;35;53;253
716;35;40;252
