Iteration;False Positive
1;1,03
2;2,06
3;3,09
4;4,12
5;5,15
6;6,18
7;7,21
8;8,24
9;9,2699995
10;10,3
11;11,33
12;12,36
13;13,39
14;14,42
15;15,449999
16;16,48
17;17,51
18;18,539999
19;19,57
20;20,6
21;21,63
22;22,66
23;23,69
24;24,72
25;25,75
26;26,78
27;27,810001
28;28,84
29;29,87
30;30,899998
31;31,93
32;32,96
33;33,989998
34;35,02
35;36,05
36;37,079998
37;38,11
38;39,14
39;40,17
40;41,2
41;42,23
42;43,26
43;44,29
44;45,32
45;46,348
46;47,376
47;48,404
48;49,432
49;50,46
50;51,488
51;52,516003
52;53,544003
53;54,572
54;55,6
55;56,628002
56;57,656002
57;58,684
58;59,711998
59;60,74
60;61,768
61;62,796
62;63,823997
63;64,852
64;65,88
65;66,908005
66;67,936
67;68,964
68;69,992
69;71,020004
70;72,048004
71;73,076
72;74,104
73;75,132
74;76,16
75;77,187996
76;78,215996
77;79,244
78;80,272
79;81,3
80;82,327995
81;83,356
82;84,384
83;85,412
84;86,44
85;87,467995
86;88,496
87;89,524
88;90,552
89;91,579994
90;92,608
91;93,636
92;94,664
93;95,692
94;96,72
95;97,748
96;98,776
97;99,806
98;99,804
99;99,802
100;99,8
101;99,798
102;99,796
103;99,794
104;99,792
105;99,79
106;99,787994
107;99,786
108;99,784
109;99,782005
110;99,78
111;99,778
112;99,776
113;99,773994
114;99,772
115;99,77
116;99,768
117;99,766
118;99,764
119;99,762
120;99,76
121;99,757996
122;99,756004
123;99,754
124;99,75201
125;99,75
126;99,748
127;99,746
128;99,743996
129;99,742004
130;99,74
131;99,738
132;99,736
133;99,734
134;99,732
135;99,73
136;99,728
137;99,726
138;99,724
139;99,722
140;99,72
141;99,718
142;99,716
143;99,714
144;99,712006
145;99,71
146;99,708
147;99,706
148;99,703995
149;99,702
150;99,7
151;99,698
152;99,696
153;99,694
154;99,692
155;99,69
156;99,687996
157;99,686005
158;99,684
159;99,682
160;99,68
161;99,678
162;99,676
163;99,673996
164;99,672005
165;99,67
166;99,668
167;99,666
168;99,664
169;99,662
170;99,659996
171;99,658
172;99,656
173;99,654
174;99,652
175;99,65
176;99,647995
177;99,646
178;99,644
179;99,642006
180;99,64
181;99,638
182;99,636
183;99,633995
184;99,632
185;99,63
186;99,628
187;99,626
188;99,624
189;99,622
190;99,62
191;99,618
192;99,616
193;99,614
194;99,612
195;99,61
196;99,608
197;99,606
198;99,604
199;99,602005
200;99,6
201;99,598
202;99,596
203;99,594
204;99,592
205;99,59
206;99,588
207;99,586
208;99,584
209;99,582
210;99,58
211;99,578
212;99,576004
213;99,574
214;99,57201
215;99,57
216;99,568
217;99,566
218;99,563995
219;99,562004
220;99,56
221;99,558
222;99,556
223;99,554
224;99,552
225;99,55
226;99,548
227;99,546
228;99,544
229;99,542
230;99,54
231;99,538
232;99,536
233;99,534
234;99,532005
235;99,53
236;99,528
237;99,526
238;99,523994
239;99,522
240;99,52
241;99,518
242;99,516
243;99,514
244;99,512
245;99,51
246;99,507996
247;99,506004
248;99,504
249;99,502
250;99,5
251;99,498
252;99,496
253;99,493996
254;99,492004
255;99,49
256;99,488
257;99,486
258;99,484
259;99,482
260;99,479996
261;99,478
262;99,476
263;99,474
264;99,472
265;99,47
266;99,468
267;99,466
268;99,464
269;99,462006
270;99,46
271;99,458
272;99,456
273;99,453995
274;99,452
275;99,45
